,1950,1960,1970,1980,1990
"1,9",2.0,0.0,2.0,0.0,0.0
1.,67.0,34.0,11.0,32.0,314.0
1.0,0.0,0.0,0.0,2.0,0.0
1.00,0.0,0.0,0.0,0.0,2.0
1.000,0.0,2.0,0.0,1.0,5.0
1.063.139,2.0,0.0,0.0,0.0,0.0
1.080.680,2.0,0.0,0.0,0.0,0.0
1.09.5,2.0,0.0,0.0,0.0,0.0
1.10,0.0,0.0,0.0,2.0,0.0
1.11,0.0,2.0,0.0,0.0,0.0
1.11.92,0.0,0.0,0.0,0.0,2.0
1.1500,0.0,0.0,0.0,0.0,2.0
1.1700,0.0,0.0,0.0,0.0,2.0
1.18,0.0,0.0,0.0,0.0,2.0
1.2,0.0,2.0,0.0,0.0,0.0
1.20.6,2.0,0.0,0.0,0.0,0.0
1.21.45,0.0,0.0,2.0,0.0,0.0
1.22.5,2.0,0.0,0.0,0.0,0.0
1.285,2.0,0.0,0.0,0.0,0.0
1.300,0.0,0.0,2.0,2.0,0.0
1.4,2.0,0.0,0.0,0.0,0.0
1.40,0.0,0.0,0.0,0.0,2.0
1.453,0.0,2.0,0.0,0.0,0.0
1.5,3.0,4.0,0.0,0.0,2.0
1.50,0.0,1.0,1.0,0.0,0.0
1.500,0.0,0.0,0.0,0.0,10.0
1.600,0.0,0.0,0.0,0.0,12.0
1.7,0.0,2.0,2.0,0.0,6.0
1.7.00,0.0,0.0,0.0,0.0,3.0
1.8,2.0,0.0,0.0,0.0,0.0
1.800,0.0,0.0,0.0,0.0,4.0
1.9,0.0,0.0,4.0,0.0,1.0
10,122.0,84.0,33.0,74.0,246.0
"10,000",6.0,2.0,0.0,0.0,0.0
10.,3.0,4.0,5.0,8.0,35.0
10.0,2.0,0.0,0.0,0.0,0.0
10.00,0.0,0.0,0.0,2.0,6.0
10.000,6.0,4.0,4.0,4.0,1.0
10.02,0.0,0.0,0.0,2.0,0.0
10.10,0.0,0.0,0.0,0.0,2.0
10.12,0.0,0.0,0.0,2.0,0.0
10.15,0.0,0.0,0.0,0.0,4.0
10.3,0.0,0.0,2.0,0.0,0.0
10.30,0.0,0.0,0.0,0.0,2.0
10.45,0.0,0.0,0.0,0.0,2.0
10.5,0.0,0.0,0.0,0.0,2.0
100,116.0,67.0,61.0,107.0,122.0
"100,000",2.0,0.0,0.0,0.0,0.0
100.,0.0,0.0,1.0,1.0,2.0
100.000,7.0,6.0,2.0,24.0,4.0
100.000.000,2.0,0.0,0.0,0.0,0.0
1000,16.0,8.0,4.0,42.0,17.0
1000.,6.0,0.0,0.0,0.0,2.0
10000,2.0,0.0,2.0,0.0,0.0
100000,2.0,0.0,0.0,4.0,0.0
101,3.0,1.0,0.0,0.0,2.0
101000,0.0,0.0,0.0,2.0,0.0
101556,0.0,0.0,0.0,0.0,2.0
102,0.0,0.0,0.0,2.0,0.0
1026936,0.0,0.0,0.0,0.0,2.0
103,0.0,6.0,0.0,12.0,0.0
1038,2.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,2.0,0.0
1041,2.0,0.0,0.0,0.0,0.0
1049,0.0,2.0,0.0,0.0,0.0
105,0.0,0.0,0.0,4.0,2.0
1055,2.0,0.0,0.0,0.0,0.0
106.,0.0,0.0,0.0,0.0,1.0
1061.,0.0,2.0,0.0,0.0,0.0
1067,0.0,0.0,0.0,0.0,12.0
106907.,0.0,0.0,0.0,0.0,2.0
107647,0.0,0.0,0.0,0.0,2.0
108,0.0,2.0,8.0,9.0,1.0
1080,4.0,0.0,0.0,0.0,0.0
1080680,2.0,0.0,0.0,0.0,0.0
1082,0.0,0.0,0.0,0.0,6.0
1083,0.0,0.0,0.0,0.0,2.0
1084,0.0,0.0,0.0,0.0,14.0
1087,0.0,0.0,0.0,0.0,24.0
1088,0.0,0.0,0.0,0.0,12.0
109,8.0,0.0,0.0,0.0,0.0
1090,1.0,0.0,0.0,0.0,0.0
11,13.0,26.0,7.0,26.0,133.0
"11,000",2.0,0.0,0.0,0.0,0.0
"11,51",2.0,0.0,0.0,0.0,0.0
"11,72",2.0,0.0,0.0,0.0,0.0
11.,10.0,10.0,3.0,3.0,40.0
11.00,2.0,0.0,0.0,0.0,10.0
11.000,2.0,0.0,0.0,0.0,4.0
11.06,0.0,0.0,0.0,0.0,2.0
11.10,0.0,0.0,0.0,14.0,0.0
11.1971,0.0,0.0,2.0,0.0,0.0
11.2.95,0.0,0.0,0.0,0.0,12.0
11.30,0.0,0.0,1.0,1.0,54.0
11.45,0.0,0.0,0.0,0.0,2.0
110,0.0,4.0,0.0,0.0,5.0
110.,0.0,0.0,0.0,0.0,6.0
110.000,2.0,0.0,0.0,0.0,0.0
1103.,0.0,0.0,0.0,0.0,2.0
111,8.0,10.0,0.0,7.0,12.0
111.,4.0,0.0,0.0,4.0,2.0
111.000,0.0,4.0,0.0,0.0,0.0
1110,0.0,0.0,0.0,0.0,2.0
1111,0.0,0.0,0.0,0.0,2.0
1111111,0.0,2.0,0.0,0.0,0.0
112,2.0,0.0,0.0,0.0,0.0
1120,0.0,2.0,0.0,0.0,0.0
112000,2.0,0.0,0.0,0.0,0.0
113,4.0,0.0,0.0,0.0,4.0
1130,0.0,0.0,0.0,0.0,10.0
1131.,2.0,0.0,0.0,0.0,0.0
114.,0.0,0.0,0.0,0.0,18.0
114.000,0.0,4.0,0.0,0.0,0.0
11438,0.0,0.0,0.0,0.0,2.0
115,0.0,0.0,0.0,0.0,10.0
1150,0.0,4.0,0.0,0.0,0.0
117,2.0,0.0,0.0,0.0,0.0
1175,0.0,0.0,0.0,0.0,4.0
1175.,0.0,0.0,0.0,0.0,2.0
1181,0.0,0.0,0.0,0.0,4.0
11888,0.0,0.0,0.0,2.0,0.0
119,0.0,0.0,0.0,0.0,1.0
1190.,0.0,0.0,0.0,0.0,2.0
1195.,2.0,0.0,0.0,0.0,0.0
11956,0.0,0.0,0.0,2.0,0.0
11984,0.0,0.0,0.0,2.0,0.0
11985,0.0,0.0,0.0,2.0,0.0
11993,0.0,0.0,0.0,0.0,2.0
11997,0.0,0.0,0.0,0.0,2.0
12,45.0,49.0,4.0,35.0,109.0
12.,23.0,13.0,0.0,8.0,28.0
12.00,2.0,2.0,0.0,2.0,26.0
12.000,2.0,0.0,0.0,0.0,4.0
12.12,0.0,0.0,0.0,2.0,0.0
12.211,2.0,0.0,0.0,0.0,0.0
12.211.000,2.0,0.0,0.0,0.0,0.0
12.25,1.0,1.0,0.0,0.0,0.0
12.3,0.0,0.0,2.0,0.0,0.0
12.30,0.0,0.0,0.0,0.0,4.0
12.500,0.0,0.0,0.0,0.0,2.0
120,7.0,11.0,0.0,6.0,20.0
"120,000",2.0,0.0,0.0,0.0,0.0
1200,5.0,19.0,0.0,2.0,10.0
120000,4.0,0.0,0.0,0.0,0.0
1207,0.0,0.0,0.0,0.0,2.0
122,1.0,1.0,0.0,1.0,1.0
122.,0.0,0.0,0.0,0.0,2.0
124,1.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,2.0
125000,0.0,0.0,0.0,0.0,2.0
126,0.0,0.0,0.0,0.0,2.0
128,4.0,0.0,0.0,0.0,0.0
1285,2.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,2.0
129.,0.0,0.0,0.0,0.0,2.0
13,10.0,28.0,2.0,21.0,96.0
"13,81",2.0,0.0,0.0,0.0,0.0
13.,9.0,23.0,2.0,6.0,14.0
13.00,2.0,0.0,0.0,0.0,68.0
13.12,0.0,0.0,0.0,0.0,6.0
13.12.96,0.0,0.0,0.0,0.0,2.0
13.30,1.0,3.0,0.0,0.0,0.0
13.40,0.0,0.0,0.0,1.0,1.0
13.45,2.0,0.0,0.0,0.0,0.0
13.50,0.0,0.0,0.0,6.0,0.0
13.58,0.0,0.0,2.0,0.0,0.0
13.8480,0.0,0.0,0.0,0.0,2.0
130,2.0,2.0,2.0,10.0,8.0
130.,0.0,0.0,0.0,0.0,2.0
130.000,0.0,0.0,0.0,7.0,15.0
1300,0.0,2.0,2.0,2.0,6.0
1300.,0.0,0.0,0.0,0.0,2.0
132,0.0,0.0,0.0,0.0,2.0
133,2.0,0.0,0.0,0.0,2.0
134.000,0.0,0.0,0.0,0.0,2.0
13458816.,0.0,0.0,0.0,0.0,2.0
135,0.0,0.0,8.0,0.0,4.0
138.,0.0,0.0,0.0,0.0,2.0
1391530,0.0,0.0,0.0,0.0,2.0
1391538,0.0,0.0,0.0,0.0,2.0
14,88.0,26.0,9.0,41.0,200.0
"14,30",0.0,2.0,0.0,0.0,0.0
14.,5.0,13.0,2.0,6.0,28.0
14.00,2.0,0.0,0.0,4.0,50.0
14.000,2.0,2.0,0.0,2.0,0.0
14.07,0.0,0.0,2.0,0.0,0.0
14.30,0.0,0.0,0.0,2.0,12.0
14.45,0.0,0.0,0.0,0.0,2.0
14.46,0.0,0.0,2.0,0.0,0.0
14.493,0.0,0.0,0.0,0.0,2.0
140,2.0,0.0,0.0,0.0,15.0
140.000,0.0,0.0,0.0,0.0,6.0
1430,0.0,0.0,0.0,0.0,2.0
144,1.0,1.0,0.0,0.0,0.0
145.,0.0,0.0,0.0,2.0,0.0
146483,0.0,0.0,0.0,0.0,2.0
147,0.0,0.0,0.0,0.0,2.0
147.,0.0,0.0,0.0,0.0,2.0
148.,0.0,0.0,0.0,0.0,2.0
15,46.0,20.0,27.0,41.0,103.0
"15,6",2.0,0.0,0.0,0.0,0.0
15.,13.0,11.0,2.0,16.0,47.0
15.00,0.0,2.0,0.0,2.0,40.0
15.000,0.0,2.0,0.0,0.0,2.0
15.1.83,0.0,0.0,0.0,4.0,0.0
15.10,0.0,0.0,0.0,0.0,2.0
15.15,0.0,0.0,0.0,2.0,0.0
15.30,0.0,2.0,0.0,0.0,8.0
15.40,0.0,0.0,0.0,0.0,40.0
15.48,0.0,0.0,0.0,0.0,2.0
150,19.0,1.0,1.0,12.0,39.0
150.,0.0,0.0,0.0,0.0,8.0
1500,22.0,28.0,0.0,2.0,22.0
1500.,0.0,0.0,0.0,0.0,12.0
15000,1.0,1.0,0.0,2.0,0.0
1501,2.0,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0,2.0
152.814,2.0,0.0,0.0,0.0,0.0
152300,0.0,0.0,0.0,0.0,2.0
154440,0.0,0.0,0.0,0.0,2.0
1548,0.0,0.0,0.0,0.0,2.0
155,0.0,0.0,0.0,0.0,2.0
157,0.0,0.0,0.0,0.0,2.0
1593,0.0,1.0,1.0,0.0,0.0
15970486,0.0,0.0,0.0,0.0,2.0
16,8.0,12.0,12.0,17.0,135.0
16.,5.0,5.0,2.0,6.0,72.0
16.00,0.0,2.0,1.0,2.0,41.0
16.05,0.0,0.0,0.0,0.0,32.0
16.12,0.0,2.0,0.0,0.0,0.0
16.15,0.0,0.0,0.0,0.0,4.0
16.30,0.0,0.0,0.0,0.0,36.0
16.310,0.0,0.0,0.0,4.0,0.0
16.40,0.0,2.0,0.0,0.0,0.0
16.50,0.0,2.0,0.0,0.0,0.0
16.85,0.0,0.0,0.0,0.0,2.0
160,2.0,0.0,0.0,4.0,7.0
1600,0.0,0.0,0.0,0.0,4.0
1600.,0.0,0.0,0.0,0.0,4.0
160000,0.0,0.0,0.0,2.0,0.0
1602,0.0,0.0,0.0,0.0,2.0
1630,0.0,0.0,0.0,0.0,18.0
164,0.0,0.0,0.0,0.0,2.0
165,0.0,0.0,0.0,2.0,0.0
1669.,0.0,0.0,0.0,2.0,0.0
1686.,1.0,1.0,0.0,0.0,0.0
169,6.0,0.0,0.0,0.0,0.0
17,17.0,18.0,1.0,9.0,101.0
"17,45",0.0,2.0,0.0,0.0,0.0
17.,17.0,10.0,2.0,3.0,37.0
17.00,0.0,0.0,0.0,2.0,10.0
17.000,0.0,1.0,1.0,0.0,2.0
17.3,0.0,0.0,0.0,0.0,4.0
17.30,2.0,2.0,0.0,0.0,0.0
17.4,0.0,0.0,0.0,0.0,4.0
17.55,1.0,1.0,0.0,0.0,0.0
170,10.0,8.0,0.0,2.0,10.0
"170,000",2.0,0.0,0.0,0.0,0.0
170.000,0.0,2.0,0.0,6.0,10.0
1700,2.0,0.0,0.0,2.0,2.0
170000,2.0,0.0,0.0,0.0,0.0
1701,0.0,0.0,0.0,1.0,1.0
171,12.0,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0,12.0
172.000,0.0,0.0,0.0,0.0,2.0
1722.,0.0,0.0,0.0,2.0,0.0
1749,0.0,2.0,0.0,0.0,0.0
"175,000",2.0,0.0,0.0,0.0,0.0
178000,0.0,0.0,0.0,2.0,0.0
1781,1.0,1.0,0.0,0.0,0.0
179,0.0,0.0,0.0,1.0,1.0
1796,0.0,22.0,0.0,0.0,2.0
1796.,0.0,0.0,0.0,0.0,2.0
1797,0.0,0.0,0.0,0.0,1.0
1799,0.0,2.0,0.0,0.0,0.0
18,23.0,9.0,4.0,30.0,187.0
"18,00",2.0,0.0,0.0,0.0,0.0
18.,12.0,2.0,2.0,9.0,52.0
18.00,0.0,2.0,0.0,14.0,24.0
18.05.98,0.0,0.0,0.0,0.0,2.0
